Address,USB0::0x2A8D::0x5C18::MY61263078::0::INSTR,,Trace ID: ,Tr1 - S21
Model,N9918B,,Trace Channel: ,1
Serial Number:,MY61263078,,Total Samples per Trace: ,801
Firmware Version,A.12.55,,Center Frequency: ,2 GHz
Start Time,2023-04-12 16:30:18.715,,Span Frequency: ,2 GHz
Capture Time,2023-04-12 16:30:20.750,,Bandwidth: ,3 kHz
,,,Format: ,Log Mag
,,,Sweep Type: ,Lin Freq
,,,Power: ,0 dBm
,,,,
,,,,
,,,,
,,,Formatted,Data
,,,X Axis Value (Hz),Chan 1 Trc1 (S21)FDATA Capture9 (dB)
,,,1000000000,-66.66435866
,,,1002500000,-67.63988237
,,,1005000000,-73.77539721
,,,1007500000,-76.11525443
,,,1010000000,-72.54578809
,,,1012500000,-69.38477127
,,,1015000000,-68.01697681
,,,1017500000,-64.67824053
,,,1020000000,-64.47137604
,,,1022500000,-62.70018008
,,,1025000000,-60.99815174
,,,1027500000,-61.16435834
,,,1030000000,-59.81707069
,,,1032500000,-59.10877828
,,,1035000000,-57.82376194
,,,1037500000,-57.53647296
,,,1040000000,-56.78418712
,,,1042500000,-56.23111096
,,,1045000000,-55.46201469
,,,1047500000,-55.02029364
,,,1050000000,-54.57682167
,,,1052500000,-54.33183101
,,,1055000000,-53.93954363
,,,1057500000,-53.37535669
,,,1060000000,-52.96141856
,,,1062500000,-52.87578845
,,,1065000000,-52.15604315
,,,1067500000,-51.83581818
,,,1070000000,-51.42480002
,,,1072500000,-51.22724343
,,,1075000000,-50.58505553
,,,1077500000,-50.26538185
,,,1080000000,-50.23100859
,,,1082500000,-49.65621215
,,,1085000000,-49.33197455
,,,1087500000,-48.81859206
,,,1090000000,-48.32829829
,,,1092500000,-48.03519753
,,,1095000000,-47.6778431
,,,1097500000,-47.31786561
,,,1100000000,-46.86288013
,,,1102500000,-46.76825614
,,,1105000000,-46.3608574
,,,1107500000,-45.9543769
,,,1110000000,-45.75356669
,,,1112500000,-45.52671366
,,,1115000000,-45.18909166
,,,1117500000,-44.92425553
,,,1120000000,-44.77931814
,,,1122500000,-44.56634203
,,,1125000000,-44.36794189
,,,1127500000,-44.09129704
,,,1130000000,-43.94611341
,,,1132500000,-43.78716653
,,,1135000000,-43.57356907
,,,1137500000,-43.27316724
,,,1140000000,-43.25023117
,,,1142500000,-43.00074022
,,,1145000000,-42.80770483
,,,1147500000,-42.56818004
,,,1150000000,-42.32801884
,,,1152500000,-42.11131981
,,,1155000000,-41.81567204
,,,1157500000,-41.62635472
,,,1160000000,-41.32343499
,,,1162500000,-41.03995103
,,,1165000000,-40.82400902
,,,1167500000,-40.54250289
,,,1170000000,-40.28086438
,,,1172500000,-40.06040504
,,,1175000000,-39.82002303
,,,1177500000,-39.60097973
,,,1180000000,-39.34241931
,,,1182500000,-39.11437294
,,,1185000000,-38.87451233
,,,1187500000,-38.65916701
,,,1190000000,-38.45637583
,,,1192500000,-38.23106235
,,,1195000000,-38.00962481
,,,1197500000,-37.83610327
,,,1200000000,-37.58252072
,,,1202500000,-37.37583297
,,,1205000000,-37.19918799
,,,1207500000,-36.95787102
,,,1210000000,-36.78940061
,,,1212500000,-36.59245273
,,,1215000000,-36.43883018
,,,1217500000,-36.26546406
,,,1220000000,-36.08248429
,,,1222500000,-35.93025834
,,,1225000000,-35.69597946
,,,1227500000,-35.48409129
,,,1230000000,-35.30895056
,,,1232500000,-35.10173624
,,,1235000000,-34.89604467
,,,1237500000,-34.72042526
,,,1240000000,-34.49112407
,,,1242500000,-34.27539726
,,,1245000000,-34.08877024
,,,1247500000,-33.88109983
,,,1250000000,-33.66720778
,,,1252500000,-33.48664173
,,,1255000000,-33.23078574
,,,1257500000,-33.0141461
,,,1260000000,-32.79192678
,,,1262500000,-32.53428019
,,,1265000000,-32.31067859
,,,1267500000,-32.05591265
,,,1270000000,-31.81158417
,,,1272500000,-31.54169809
,,,1275000000,-31.23994413
,,,1277500000,-31.00408414
,,,1280000000,-30.70664367
,,,1282500000,-30.49914372
,,,1285000000,-30.26652563
,,,1287500000,-30.01142246
,,,1290000000,-29.80835108
,,,1292500000,-29.57724387
,,,1295000000,-29.36398265
,,,1297500000,-29.11082192
,,,1300000000,-28.89029789
,,,1302500000,-28.68635823
,,,1305000000,-28.53438542
,,,1307500000,-28.33651206
,,,1310000000,-28.14958576
,,,1312500000,-27.9474254
,,,1315000000,-27.79039582
,,,1317500000,-27.62917406
,,,1320000000,-27.4559154
,,,1322500000,-27.2933392
,,,1325000000,-27.11132923
,,,1327500000,-26.92413048
,,,1330000000,-26.75985321
,,,1332500000,-26.59758886
,,,1335000000,-26.45040418
,,,1337500000,-26.25811894
,,,1340000000,-26.06257591
,,,1342500000,-25.87178414
,,,1345000000,-25.68833269
,,,1347500000,-25.49007569
,,,1350000000,-25.29080673
,,,1352500000,-25.10047101
,,,1355000000,-24.88890635
,,,1357500000,-24.69075093
,,,1360000000,-24.47609829
,,,1362500000,-24.27053225
,,,1365000000,-24.02769827
,,,1367500000,-23.82924209
,,,1370000000,-23.64222195
,,,1372500000,-23.44133907
,,,1375000000,-23.25122635
,,,1377500000,-23.06773024
,,,1380000000,-22.87275512
,,,1382500000,-22.71641524
,,,1385000000,-22.53712165
,,,1387500000,-22.38322861
,,,1390000000,-22.24995637
,,,1392500000,-22.09723456
,,,1395000000,-21.98124742
,,,1397500000,-21.87557393
,,,1400000000,-21.80526673
,,,1402500000,-21.71946103
,,,1405000000,-21.65598801
,,,1407500000,-21.62834139
,,,1410000000,-21.5674345
,,,1412500000,-21.5391111
,,,1415000000,-21.51482513
,,,1417500000,-21.50077622
,,,1420000000,-21.48804478
,,,1422500000,-21.46040373
,,,1425000000,-21.44262417
,,,1427500000,-21.4495998
,,,1430000000,-21.45024178
,,,1432500000,-21.4689164
,,,1435000000,-21.46320476
,,,1437500000,-21.46320314
,,,1440000000,-21.44947754
,,,1442500000,-21.45408379
,,,1445000000,-21.45849818
,,,1447500000,-21.45747288
,,,1450000000,-21.4314548
,,,1452500000,-21.46657494
,,,1455000000,-21.50251987
,,,1457500000,-21.53196576
,,,1460000000,-21.56574377
,,,1462500000,-21.5987757
,,,1465000000,-21.63544638
,,,1467500000,-21.70611817
,,,1470000000,-21.72904502
,,,1472500000,-21.81244159
,,,1475000000,-21.84660812
,,,1477500000,-21.91455647
,,,1480000000,-21.99537025
,,,1482500000,-22.07884883
,,,1485000000,-22.1630967
,,,1487500000,-22.24450863
,,,1490000000,-22.3346888
,,,1492500000,-22.43782821
,,,1495000000,-22.57564255
,,,1497500000,-22.68993365
